ID;Photo;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;Statut;
43;http://www.fruitdautomne.fr/img/p/6/3/63.jpg;Pivoine;B19;Accueil;12.000000;12;1;1;
107;http://www.fruitdautomne.fr/img/p/1/3/9/139.jpg;Carminéa;D23;Accueil;20.000000;20;1;1;
40;http://www.fruitdautomne.fr/img/p/5/9/59.jpg;Amaranthe;B16;Accueil;12.000000;12;0;1;
104;http://www.fruitdautomne.fr/img/p/1/3/6/136.jpg; Lobélia;D20;Accueil;20.000000;20;1;1;
101;http://www.fruitdautomne.fr/img/p/1/3/3/133.jpg;Hémanthe;D17;Accueil;20.000000;20;1;1;
37;http://www.fruitdautomne.fr/img/p/5/5/55.jpg;Célosia;B13;Accueil;12.000000;12;1;1;
98;http://www.fruitdautomne.fr/img/p/1/3/0/130.jpg;Cyphomandra;D14;Accueil;20.000000;20;1;1;
34;http://www.fruitdautomne.fr/img/p/5/1/51.jpg;Prune;B10;Accueil;12.000000;12;1;1;
31;http://www.fruitdautomne.fr/img/p/4/8/48.jpg;Chaîne des coeurs;B7;Accueil;12.000000;12;1;1;
95;http://www.fruitdautomne.fr/img/p/1/2/7/127.jpg;Aralia;D11;Accueil;20.000000;20;1;1;
28;http://www.fruitdautomne.fr/img/p/4/4/44.jpg;Edelweiss;B4;Accueil;12.000000;12;0;1;
92;http://www.fruitdautomne.fr/img/p/1/2/4/124.jpg;Macadamia;D8;Accueil;20.000000;20;1;1;
89;http://www.fruitdautomne.fr/img/p/1/2/1/121.jpg;Adania;D5;Accueil;20.000000;20;1;1;
22;http://www.fruitdautomne.fr/img/p/3/5/35.jpg;Bleuet;A18;Accueil;10.000000;10;1;1;
86;http://www.fruitdautomne.fr/img/p/1/1/8/118.jpg;Corydalis;D2;Accueil;20.000000;20;1;1;
19;http://www.fruitdautomne.fr/img/p/3/0/30.jpg;Eclipse;A15;Accueil;10.000000;10;1;1;
83;http://www.fruitdautomne.fr/img/p/1/1/5/115.jpg;La Gaulthique;C19;Boucles d'oreilles;15.000000;15;1;1;
16;http://www.fruitdautomne.fr/img/p/2/6/26.jpg;Libellule;A12;Accueil;10.000000;10;1;1;
80;http://www.fruitdautomne.fr/img/p/1/1/0/110.jpg;Rose noire;C16;Boucles d'oreilles;15.000000;15;1;1;
13;http://www.fruitdautomne.fr/img/p/2/0/20.jpg;Coquelicot;A9;Accueil;10.000000;10;1;1;
77;http://www.fruitdautomne.fr/img/p/1/0/7/107.jpg;Coco;C13;Boucles d'oreilles;15.000000;15;1;1;
10;http://www.fruitdautomne.fr/img/p/1/5/15.jpg;Pavot bleu;A6;Accueil;10.000000;10;1;1;
74;http://www.fruitdautomne.fr/img/p/1/0/3/103.jpg;Virginie;C10;Boucles d'oreilles;15.000000;15;1;1;
7;http://www.fruitdautomne.fr/img/p/1/2/12.jpg;Chenille;A3;Accueil;10.000000;10;1;1;
71;http://www.fruitdautomne.fr/img/p/1/0/0/100.jpg;Limba;C7;Boucles d'oreilles;15.000000;15;1;1;
68;http://www.fruitdautomne.fr/img/p/9/6/96.jpg;Grapia;C4;Boucles d'oreilles;15.000000;15;1;1;
65;http://www.fruitdautomne.fr/img/p/9/3/93.jpg;Guêpe;C1;Boucles d'oreilles;15.000000;15;1;1;
62;http://www.fruitdautomne.fr/img/p/1/5/6/156.jpg;Fibule;M1;Oeuvres;345.000000;345;1;1;
59;http://www.fruitdautomne.fr/img/p/1/5/1/151.jpg;Femme;T2;Oeuvres;380.000000;380;1;1;
56;http://www.fruitdautomne.fr/img/p/8/2/82.jpg;Tola;B32;Accueil;12.000000;12;1;1;
53;http://www.fruitdautomne.fr/img/p/7/9/79.jpg;Angélique;B29;Accueil;12.000000;12;1;1;
117;http://www.fruitdautomne.fr/img/p/1/4/9/149.jpg;Andalousie;E9;Accueil;24.800000;24.8;1;1;
50;http://www.fruitdautomne.fr/img/p/7/5/75.jpg;Mélisse;B26;Accueil;12.000000;12;1;1;
114;http://www.fruitdautomne.fr/img/p/1/4/6/146.jpg;Gloriosa;E6;Accueil;24.800000;24.8;1;1;
47;http://www.fruitdautomne.fr/img/p/7/1/71.jpg;Ancolie;B23;Accueil;12.000000;12;1;1;
111;http://www.fruitdautomne.fr/img/p/1/4/3/143.jpg;Thraskii;E3;Accueil;24.800000;24.8;1;1;
44;http://www.fruitdautomne.fr/img/p/6/5/65.jpg;Iris;B20;Accueil;12.000000;12;1;1;
108;http://www.fruitdautomne.fr/img/p/1/4/0/140.jpg;Golthéria;D24;Accueil;20.000000;20;1;1;
41;http://www.fruitdautomne.fr/img/p/6/1/61.jpg;Centoréa;B17;Accueil;12.000000;12;1;1;
105;http://www.fruitdautomne.fr/img/p/1/3/7/137.jpg; Salvia;D21;Accueil;20.000000;20;1;1;
38;http://www.fruitdautomne.fr/img/p/5/6/56.jpg;Cerisier du Japon;B14;Accueil;12.000000;12;1;1;
102;http://www.fruitdautomne.fr/img/p/1/3/4/134.jpg;Manilkara;D18;Accueil;20.000000;20;1;1;
99;http://www.fruitdautomne.fr/img/p/1/3/1/131.jpg;Diospyros;D15;Accueil;20.000000;20;1;1;
35;http://www.fruitdautomne.fr/img/p/5/2/52.jpg;Myrtille;B11;Accueil;12.000000;12;1;1;
32;http://www.fruitdautomne.fr/img/p/4/9/49.jpg;Bégonia;B8;Accueil;12.000000;12;1;1;
96;http://www.fruitdautomne.fr/img/p/1/2/8/128.jpg; Rosa Morada;D12;Accueil;20.000000;20;1;1;
29;http://www.fruitdautomne.fr/img/p/4/6/46.jpg;Olivette;B5;Accueil;12.000000;12;1;1;
93;http://www.fruitdautomne.fr/img/p/1/2/5/125.jpg;Fitonnia;D9;Accueil;20.000000;20;1;1;
26;http://www.fruitdautomne.fr/img/p/4/1/41.jpg;Demoiselle;B2;Accueil;12.000000;12;1;1;
90;http://www.fruitdautomne.fr/img/p/1/2/2/122.jpg;Annona;D6;Accueil;20.000000;20;1;1;